,total_sulfur_dioxide,chlorides,free_sulfur_dioxide,volatile_acidity,citric_acid,alcohol,residual_sugar
868,4,3,0,0,1,1,3
869,1,0,1,0,0,1,3
870,1,0,0,0,0,1,0
871,1,0,0,0,1,1,1
872,1,0,0,0,0,1,1
873,1,0,0,1,0,1,0
874,1,0,0,0,1,2,2
875,1,0,1,0,3,2,0
876,4,0,0,2,3,4,0
877,0,4,0,0,1,4,0
878,1,0,0,1,0,3,0
879,2,0,0,2,0,2,4
880,0,0,3,1,1,1,0
881,0,0,0,0,1,1,1
882,0,2,1,1,1,3,4
883,2,0,1,4,0,1,0
884,1,0,0,0,0,2,1
885,1,0,0,1,0,1,0
886,1,0,0,0,3,1,0
887,1,0,0,0,0,1,0
888,2,0,0,0,3,4,0
889,1,2,0,0,0,2,1
890,0,0,0,0,0,0,0
891,2,0,0,2,3,2,0
892,2,4,0,1,0,0,0
893,0,0,3,1,0,2,0
894,0,0,0,1,0,1,2
895,4,0,0,2,0,1,0
896,2,0,1,1,1,0,0
897,2,0,0,0,0,1,1
898,1,0,1,4,0,1,0
899,1,0,0,2,0,3,0
900,1,0,0,0,3,2,0
901,4,3,0,1,0,1,0
902,1,0,0,0,1,1,0
903,1,0,0,1,0,3,2
904,3,3,0,3,1,0,0
905,1,1,2,0,0,0,4
906,0,0,1,1,0,4,4
907,1,0,0,1,0,2,2
908,1,0,0,0,0,4,0
909,0,0,0,4,0,1,0
910,0,0,0,1,3,3,0
911,2,0,1,0,1,1,0
912,0,0,0,1,0,2,4
913,1,0,2,0,1,2,0
914,0,3,3,0,1,3,3
915,2,0,0,0,0,1,1
916,1,2,1,0,1,2,0
917,2,4,0,3,1,2,0
918,0,0,0,1,1,1,2
919,1,0,3,1,1,1,0
920,2,2,2,0,0,1,0
921,1,0,1,0,1,4,0
922,1,0,0,1,1,3,0
923,2,0,3,0,4,2,3
924,1,0,0,0,2,2,0
925,1,0,0,2,0,1,0
926,2,0,0,2,0,0,0
927,1,0,1,0,0,2,0
928,2,0,0,0,0,1,0
929,1,0,0,0,0,4,0
930,1,2,2,0,0,1,1
931,0,0,4,4,0,1,4
932,1,0,0,0,1,4,0
933,0,0,0,3,1,1,3
934,0,0,0,1,0,1,0
935,2,0,0,4,0,0,0
936,0,4,0,1,3,1,1
937,1,0,0,0,0,2,0
938,1,0,0,4,0,0,1
939,2,2,3,0,1,0,1
940,0,0,0,1,1,3,0
941,2,0,0,1,2,1,1
942,2,0,0,0,2,0,0
943,1,0,0,0,2,0,2
944,0,0,0,0,0,1,0
945,1,4,0,0,1,2,0
946,1,0,1,0,4,0,1
947,4,2,0,4,1,3,0
948,1,2,0,0,2,2,0
949,2,4,1,2,1,0,0
950,2,0,1,0,0,1,2
951,0,0,0,1,4,1,0
952,1,0,0,1,1,1,0
953,2,0,0,0,1,0,0
954,2,0,1,0,0,0,0
955,2,0,0,0,0,0,0
956,1,1,0,0,1,0,0
957,0,0,0,1,0,1,0
958,0,0,4,2,0,1,0
959,2,0,1,0,1,1,0
960,0,0,0,0,1,0,0
961,0,0,0,0,1,2,0
962,1,0,0,0,0,3,4
963,1,0,3,4,1,2,0
964,2,3,0,0,1,0,1
965,1,0,0,0,1,0,0
966,0,0,3,2,0,3,0
967,1,4,0,2,1,2,4
968,0,0,0,1,0,0,0
969,2,1,0,0,2,0,0
970,1,0,4,0,4,1,0
971,3,0,0,1,0,2,3
972,2,2,0,1,0,0,2
973,2,0,2,0,0,1,0
974,1,1,0,2,4,0,1
975,4,0,1,0,1,2,0
976,1,4,1,0,0,0,0
977,1,0,0,0,0,1,0
978,1,0,1,0,0,3,3
979,0,0,0,1,0,0,0
980,2,0,0,0,0,1,0
981,1,0,2,0,0,1,0
982,0,1,0,1,0,2,0
983,1,0,0,0,0,2,1
984,0,0,0,0,1,2,0
985,2,0,0,0,1,1,4
986,1,3,0,3,0,1,0
987,3,0,2,3,1,1,0
988,1,0,0,0,1,0,1
989,1,3,0,0,1,1,0
990,1,2,0,0,0,1,2
991,1,0,0,3,1,2,0
992,3,0,0,0,3,3,0
993,0,4,0,3,0,2,0
994,1,0,0,0,0,2,0
995,4,0,0,0,0,0,0
996,0,0,0,1,0,0,4
997,2,0,0,0,0,2,0
998,0,0,0,1,1,2,1
999,0,0,0,0,0,1,0
1000,0,1,1,1,1,4,0
1001,1,4,0,0,2,0,3
1002,0,2,0,1,2,2,0
1003,1,0,2,0,2,2,0
1004,3,0,0,3,4,0,0
1005,1,0,0,4,1,2,4
1006,1,0,0,0,1,2,0
1007,1,3,0,0,4,3,0
1008,0,4,0,2,0,1,0
1009,1,1,0,2,1,1,0
1010,1,0,0,0,0,0,0
1011,1,0,0,0,0,1,0
1012,3,0,0,1,0,1,0
1013,1,0,0,0,1,1,4
1014,1,0,0,0,0,4,1
1015,1,0,0,0,1,2,0
1016,1,3,0,1,0,1,0
1017,1,0,0,0,1,2,0
1018,0,0,0,0,1,0,0
1019,1,3,4,0,4,1,0
1020,0,4,0,0,0,2,2
1021,1,4,0,0,1,0,0
1022,2,0,0,2,0,0,0
1023,1,0,1,1,0,2,3
1024,0,0,0,1,0,2,0
1025,4,0,0,3,0,4,3
1026,4,0,0,1,4,3,0
1027,1,0,0,1,0,3,1
1028,1,3,0,0,0,1,4
1029,2,2,0,1,2,0,1
1030,1,2,0,0,0,1,0
1031,0,1,0,0,0,1,3
1032,1,0,4,0,4,4,0
1033,1,1,0,4,0,2,0
1034,0,4,0,0,1,1,0
1035,0,2,0,0,4,1,0
1036,0,0,0,0,1,1,0
1037,3,4,0,3,0,1,0
1038,4,0,0,3,1,1,0
1039,2,0,0,0,1,2,0
1040,1,3,0,2,1,0,1
1041,3,0,0,0,1,1,0
1042,1,0,1,2,0,1,0
1043,0,0,2,0,0,0,0
1044,2,1,4,3,1,3,2
1045,2,4,0,0,1,0,0
1046,1,4,0,0,0,1,0
1047,0,0,0,0,0,3,0
1048,1,0,0,0,0,1,0
1049,0,4,0,1,4,1,1
1050,0,0,0,0,3,1,0
1051,0,0,0,4,1,3,0
1052,1,0,0,1,2,3,0
1053,3,0,0,4,1,3,0
1054,1,0,0,1,0,1,0
1055,1,2,0,0,1,3,0
1056,1,0,0,0,0,3,0
1057,4,0,0,0,0,4,2
1058,0,4,3,3,3,2,2
1059,1,4,0,0,0,1,0
1060,1,0,0,0,0,1,1
1061,1,0,0,0,0,4,2
1062,1,0,0,0,4,2,0
1063,1,4,0,0,0,2,0
1064,1,3,0,2,0,0,0
1065,1,0,0,0,1,0,3
1066,0,3,0,0,0,3,3
1067,0,0,3,3,4,2,3
1068,1,0,0,0,1,3,0
1069,0,0,0,0,1,1,0
1070,0,0,0,0,0,0,3
1071,1,0,0,0,0,3,0
1072,0,0,0,0,0,3,4
1073,3,0,0,0,3,0,0
1074,0,0,0,1,1,1,0
1075,0,0,0,1,1,2,0
1076,1,0,1,1,0,2,0
1077,0,0,0,1,3,1,0
1078,1,0,0,0,1,1,0
1079,1,0,0,1,3,4,0
1080,1,0,3,0,0,3,0
1081,2,1,0,0,1,1,3
1082,0,0,0,1,0,1,0
1083,4,0,1,0,0,3,4
1084,1,3,4,0,0,1,0
1085,3,0,1,0,0,1,1
1086,0,1,0,2,0,1,0
1087,1,0,0,0,0,1,0
1088,1,0,2,0,2,2,0
1089,2,0,4,0,0,2,0
1090,1,0,0,1,0,1,2
1091,0,0,3,0,2,0,0
1092,1,0,0,0,4,3,0
1093,0,0,0,1,2,2,0
1094,1,0,0,0,2,3,0
1095,1,0,1,0,0,3,0
1096,1,0,3,0,0,0,0
1097,2,0,0,1,0,1,0
1098,2,0,0,0,4,1,3
1099,0,0,0,1,0,0,0
1100,0,0,3,2,1,3,0
1101,0,0,1,0,1,4,0
1102,0,0,3,1,0,0,0
1103,0,0,0,0,1,2,0
1104,2,0,0,2,0,2,0
1105,0,0,0,0,0,1,0
1106,1,0,0,1,2,1,4
1107,3,0,3,1,1,1,0
1108,1,1,1,0,2,1,0
1109,0,0,0,1,1,0,0
1110,1,0,0,0,3,1,0
1111,2,0,4,3,0,0,0
1112,1,0,0,0,1,1,3
1113,1,0,0,1,1,0,0
1114,1,4,2,0,0,2,2
1115,0,0,4,0,1,2,3
1116,1,0,0,0,1,2,4
1117,0,0,2,2,0,1,0
1118,1,0,0,0,0,1,0
1119,1,0,0,4,4,0,1
1120,1,0,1,0,0,1,0
1121,1,4,0,0,0,1,1
1122,1,1,3,3,1,2,0
1123,1,0,1,0,0,1,1
1124,2,1,1,0,1,3,0
1125,1,0,0,0,0,1,0
1126,1,0,0,0,1,2,0
1127,1,2,0,0,0,3,4
1128,1,0,1,0,0,0,1
1129,3,0,0,2,0,4,0
1130,3,1,0,2,0,3,0
1131,0,0,0,3,3,2,2
1132,1,0,0,3,1,0,0
1133,1,4,0,0,0,1,0
1134,4,0,0,1,0,1,0
1135,0,2,0,1,1,0,0
1136,1,0,0,1,0,0,1
1137,4,0,0,0,3,0,0
1138,1,2,0,2,0,1,0
1139,1,0,0,0,1,3,0
1140,2,0,3,0,1,4,0
1141,1,0,0,0,2,2,0
1142,0,3,2,0,0,3,0
1143,0,0,0,0,0,0,0
1144,0,0,3,1,0,2,0
1145,1,0,3,0,4,2,0
1146,2,3,4,0,1,3,0
1147,3,0,0,1,0,1,0
1148,3,0,1,0,0,0,1
1149,0,2,1,0,1,3,0
1150,0,0,4,1,0,0,4
1151,2,0,2,1,0,1,1
1152,0,0,0,0,0,1,0
1153,1,4,0,0,1,0,0
1154,0,0,0,0,0,3,4
1155,4,0,0,0,1,0,2
1156,3,0,3,0,0,3,0
1157,1,3,0,0,4,3,0
1158,2,0,0,0,1,0,0
1159,0,0,0,0,0,0,0
1160,1,1,0,0,4,1,0
1161,0,3,2,2,0,0,0
1162,1,2,0,3,0,3,0
1163,1,2,0,0,1,1,1
1164,1,0,0,1,0,0,4
1165,1,0,1,0,1,1,1
1166,1,0,3,0,0,1,4
1167,0,0,2,0,1,3,1
1168,1,1,3,0,1,3,0
1169,2,0,0,1,0,1,0
1170,1,0,0,0,0,2,4
1171,1,4,0,0,0,3,1
1172,1,0,0,0,0,1,0
1173,3,2,0,2,0,1,0
1174,0,0,4,0,0,0,1
1175,1,0,0,0,0,1,0
1176,2,0,1,3,3,1,0
1177,1,0,0,0,1,0,4
1178,1,0,0,1,1,4,0
1179,1,0,0,4,0,1,0
1180,2,0,1,1,0,0,0
1181,1,0,0,0,0,0,0
1182,3,0,4,1,1,2,0
1183,0,0,0,0,0,4,0
1184,1,0,0,3,1,1,4
1185,1,3,0,1,3,4,0
1186,4,0,0,1,3,1,0
1187,1,0,0,2,0,0,2
1188,4,0,1,0,1,1,1
1189,0,0,0,0,1,2,0
1190,2,0,0,1,1,1,3
1191,2,0,1,1,3,2,1
1192,1,0,1,0,3,0,2
1193,1,2,0,0,0,1,0
1194,0,0,0,2,0,3,0
1195,1,4,0,0,0,0,4
1196,2,2,0,1,1,1,0
1197,1,0,0,0,1,1,3
1198,3,3,0,0,0,2,0
1199,1,0,0,3,0,2,0
1200,4,0,4,0,1,1,0
1201,3,0,0,0,0,0,1
1202,1,0,0,0,0,1,0
1203,0,0,0,1,0,1,1
1204,2,0,0,2,1,3,4
1205,2,0,4,0,1,2,0
1206,0,3,0,0,0,1,0
1207,1,0,0,0,2,1,0
1208,1,0,2,0,0,2,0
1209,1,0,0,4,0,3,0
1210,0,4,1,0,4,3,4
1211,0,0,0,2,0,2,3
1212,0,3,4,0,1,2,0
1213,1,0,0,0,1,1,0
1214,1,0,0,2,0,1,2
1215,3,0,0,3,0,3,0
1216,2,0,0,0,2,1,1
1217,0,0,0,4,0,3,0
1218,0,0,0,1,0,4,3
1219,1,0,0,1,0,0,0
1220,2,0,0,0,0,1,0
1221,1,0,4,1,0,1,2
1222,1,1,1,0,1,1,0
1223,0,0,1,1,0,1,0
1224,1,0,1,4,1,3,0
1225,1,2,0,0,2,1,4
1226,1,4,0,0,0,2,0
1227,1,1,0,0,0,4,1
1228,1,0,3,0,3,0,3
1229,0,0,0,0,0,2,0
1230,0,3,1,2,0,2,0
1231,1,0,1,0,0,1,3
1232,2,0,0,4,0,1,0
1233,4,4,0,0,0,1,0
1234,1,0,0,0,0,1,0
1235,0,0,0,0,0,2,0
1236,1,1,0,0,0,2,0
1237,0,0,0,0,1,1,0
1238,1,0,0,0,1,3,0
1239,0,0,2,1,0,1,0
1240,1,0,2,1,3,0,0
1241,2,3,2,1,1,1,0
1242,0,0,0,1,3,0,0
1243,1,0,0,0,2,0,1
1244,0,0,0,2,0,4,1
1245,0,0,0,0,1,0,0
1246,1,0,0,0,0,1,2
1247,1,3,4,0,0,4,4
1248,1,0,0,0,3,4,0
1249,1,0,1,0,0,4,2
1250,1,0,4,3,2,2,0
1251,0,0,0,1,0,4,4
1252,4,0,0,4,3,2,0
1253,1,0,0,0,4,2,3
1254,1,4,0,1,0,1,1
1255,2,0,0,4,2,0,3
1256,1,3,0,0,0,1,0
1257,3,0,1,0,0,1,0
1258,2,2,1,0,1,3,0
1259,1,2,3,0,1,2,0
1260,1,1,4,1,0,0,0
1261,1,2,0,3,4,0,3
1262,2,4,0,3,0,3,0
1263,1,0,0,0,1,1,3
1264,1,0,0,0,1,2,0
1265,2,0,1,4,0,1,0
1266,0,0,0,0,0,2,0
1267,1,0,0,0,3,2,0
1268,0,3,0,1,3,1,0
1269,2,4,1,1,1,0,0
1270,0,0,0,0,1,3,0
1271,1,1,0,0,1,2,3
1272,1,0,0,3,4,1,0
1273,0,1,0,2,0,1,3
1274,1,0,3,0,1,3,0
1275,0,0,0,0,1,2,0
1276,0,0,4,2,1,1,2
1277,0,0,0,4,2,1,0
1278,0,0,0,3,0,3,0
1279,2,0,0,0,0,2,0
1280,0,3,0,0,4,4,0
1281,4,0,0,1,0,1,0
1282,0,0,3,0,0,0,0
1283,0,0,0,0,1,3,0
1284,3,0,1,1,0,1,0
1285,0,0,3,2,0,0,4
1286,1,0,0,0,1,0,3
1287,2,0,4,0,0,0,0
1288,2,3,0,3,2,1,0
1289,1,0,0,0,1,0,0
1290,4,0,0,0,0,2,0
1291,3,0,0,0,0,0,0
1292,1,0,0,0,1,1,1
1293,1,0,1,0,1,3,0
1294,1,0,0,0,0,3,0
1295,3,0,1,0,1,0,4
1296,1,0,0,2,3,0,0
1297,1,0,0,0,1,2,0
1298,1,2,0,0,0,1,0
1299,2,0,0,0,0,3,0
1300,3,3,0,0,0,1,1
1301,0,3,0,1,1,1,0
1302,1,0,0,0,0,3,0
1303,1,0,0,3,0,3,3
1304,1,0,3,0,1,1,2
1305,4,0,0,0,1,3,4
1306,1,3,0,0,1,1,0
1307,1,0,4,0,1,1,0
1308,0,0,0,1,0,1,0
1309,0,2,1,0,4,3,4
1310,1,0,0,0,0,1,0
1311,1,0,3,2,1,0,1
1312,2,0,0,0,0,1,4
1313,4,0,0,1,0,1,0
1314,0,2,0,0,0,4,0
1315,1,0,0,0,1,2,0
1316,1,2,0,0,0,2,0
1317,0,0,0,2,1,3,0
1318,0,0,0,1,0,1,2
1319,0,2,0,0,3,4,0
1320,0,0,2,3,0,4,0
1321,1,0,0,1,0,0,0
1322,1,0,0,4,3,2,0
1323,1,4,4,0,0,2,0
1324,4,2,0,1,0,2,0
1325,1,1,0,2,0,1,0
1326,0,0,0,4,3,2,0
1327,0,2,0,0,1,0,1
1328,2,0,1,0,0,1,2
1329,0,0,0,1,0,3,4
1330,2,3,0,0,1,0,1
1331,1,0,0,0,0,2,0
1332,4,0,0,4,0,4,0
1333,1,0,0,0,1,1,1
1334,1,0,1,0,1,2,2
1335,2,0,1,0,0,1,0
1336,0,0,0,0,2,0,0
1337,1,0,0,1,2,1,0
1338,1,0,0,0,0,2,0
1339,2,3,0,4,1,1,0
1340,2,0,0,0,3,2,3
1341,0,0,0,1,1,2,4
1342,1,0,0,0,1,2,0
1343,0,0,0,1,0,2,0
1344,0,0,0,3,0,1,0
1345,0,0,1,1,1,1,1
1346,1,3,0,1,2,3,0
1347,3,0,4,0,0,2,3
1348,1,0,2,0,4,3,3
1349,1,0,4,0,0,1,0
1350,0,0,0,1,1,2,0
1351,1,0,0,1,0,4,0
1352,1,0,0,0,1,1,4
1353,1,3,3,3,1,0,0
1354,0,0,0,2,1,3,0
1355,0,1,0,1,0,1,0
1356,1,0,1,0,1,1,1
1357,1,0,0,0,0,2,2
1358,1,0,3,1,1,1,0
1359,1,0,0,0,0,4,0
1360,1,3,0,4,1,0,0
1361,0,0,0,1,0,3,0
1362,0,0,2,1,0,1,0
1363,0,0,1,1,0,1,0
1364,0,1,0,1,0,3,0
1365,1,4,0,0,0,4,0
1366,0,3,0,3,0,1,0
1367,1,1,0,0,0,3,0
1368,1,0,3,1,4,2,0
1369,1,0,4,0,1,2,0
1370,1,0,0,0,1,4,0
1371,4,3,2,1,0,1,0
1372,1,0,0,1,2,3,0
1373,0,1,0,0,1,2,0
1374,1,0,1,1,0,1,4
1375,1,0,3,0,1,2,0
1376,0,3,2,1,4,1,0
1377,1,0,0,0,1,0,0
1378,0,0,0,0,1,1,0
1379,1,0,0,4,0,2,3
1380,1,3,0,4,4,2,0
1381,1,0,0,0,0,2,0
1382,1,1,1,0,1,0,0
1383,0,1,0,1,1,1,0
1384,1,0,3,4,0,1,0
1385,1,3,1,0,0,2,3
1386,0,0,2,2,0,1,0
1387,3,4,0,0,0,1,0
1388,1,4,4,0,1,4,0
1389,0,0,0,1,1,0,0
1390,1,0,0,4,2,0,4
1391,2,0,0,0,1,0,0
1392,4,0,0,2,2,1,0
1393,2,0,2,0,0,3,0
1394,0,0,0,2,2,2,0
1395,0,0,0,4,0,3,0
1396,3,0,0,4,1,1,0
1397,1,0,0,0,1,1,0
1398,3,0,4,0,2,3,0
1399,3,0,4,0,0,1,2
1400,0,0,3,0,1,2,0
1401,0,1,0,4,1,1,4
1402,2,0,0,0,1,0,3
1403,1,0,0,1,2,2,0
1404,1,2,0,1,2,1,0
1405,1,0,0,0,0,1,0
1406,1,0,2,1,4,1,0
1407,0,0,0,0,2,0,0
1408,1,0,0,0,0,2,3
1409,1,0,0,1,0,1,3
1410,1,3,0,0,1,1,0
1411,1,0,0,3,3,3,1
1412,1,0,0,4,0,2,0
1413,0,3,4,4,1,2,0
1414,3,0,4,4,0,2,0
1415,0,1,2,1,1,1,0
1416,3,0,0,0,0,2,0
1417,0,0,0,0,1,2,0
1418,0,0,0,3,1,0,2
1419,1,2,0,0,0,1,3
1420,1,2,0,2,0,1,0
1421,1,0,0,0,1,3,0
1422,1,0,0,1,1,3,0
1423,0,2,0,3,4,1,0
1424,1,1,3,0,0,1,1
1425,0,1,0,1,0,2,4
1426,2,0,2,0,4,0,0
1427,0,0,0,0,1,2,0
1428,0,0,0,0,0,2,0
1429,1,0,0,4,0,0,0
1430,0,0,1,1,0,0,0
1431,0,0,0,0,3,2,0
1432,4,2,2,0,2,1,3
1433,1,0,0,1,1,1,0
1434,1,0,0,1,0,0,0
1435,1,0,0,1,2,0,2
1436,1,0,0,1,0,0,0
1437,0,0,0,4,3,1,0
1438,3,0,0,0,1,1,0
1439,0,0,0,3,1,1,0
1440,0,0,2,0,0,2,0
1441,1,4,1,3,1,0,0
1442,1,1,0,0,0,0,1
1443,3,3,0,0,0,3,4
1444,1,0,0,0,0,3,0
1445,4,0,0,4,0,1,0
1446,1,2,4,0,4,1,0
1447,1,0,0,2,0,1,0
1448,1,0,0,0,4,1,0
1449,1,0,0,0,0,0,0
1450,2,0,1,0,1,3,2
1451,0,0,0,0,0,0,4
1452,2,0,0,0,1,1,2
1453,1,0,0,0,2,2,0
1454,1,0,0,4,0,3,0
1455,0,2,2,1,1,2,0
1456,0,0,0,2,0,1,1
1457,3,0,0,0,3,4,0
1458,2,0,0,0,1,0,0
1459,1,1,0,2,1,1,2
1460,1,0,0,0,0,1,0
1461,1,0,0,0,1,0,0
1462,3,1,0,4,2,2,0
1463,1,0,0,2,2,2,3
1464,0,0,0,1,1,2,0
1465,1,0,0,1,4,2,0
1466,1,0,0,0,1,1,1
1467,0,4,0,1,1,1,0
1468,3,0,0,1,1,1,0
1469,1,0,0,1,0,2,0
1470,2,0,1,0,0,1,1
1471,1,2,0,0,1,2,0
1472,1,0,0,0,2,3,0
1473,0,0,4,2,0,3,0
1474,1,0,1,0,0,4,0
1475,3,4,0,3,1,1,0
1476,1,0,1,3,0,3,0
1477,1,0,0,3,0,2,0
1478,0,2,0,4,0,1,4
1479,3,0,0,0,0,1,0
1480,1,0,0,0,1,1,3
1481,1,2,0,0,1,3,3
1482,1,0,0,0,1,1,0
1483,1,0,0,0,0,2,0
1484,3,4,0,0,1,0,1
1485,0,3,0,0,2,1,4
1486,3,4,0,0,0,1,3
1487,1,0,0,4,3,2,1
1488,1,0,0,0,1,0,1
1489,0,0,0,0,1,2,4
1490,0,0,0,1,0,2,0
1491,3,0,0,0,1,1,0
1492,1,2,0,3,0,3,1
1493,1,0,0,4,0,2,0
1494,1,0,4,0,1,2,0
1495,0,0,0,0,2,2,0
1496,3,0,0,0,0,4,0
1497,1,0,4,1,0,1,2
1498,4,2,0,0,1,2,0
1499,0,2,0,1,0,0,0
1500,0,0,0,0,1,2,2
1501,2,0,1,0,1,1,0
1502,4,4,4,0,0,3,0
1503,0,0,0,3,1,2,0
1504,1,0,0,0,1,0,1
1505,1,0,0,0,0,2,0
1506,1,0,1,0,4,1,0
1507,0,1,0,3,0,3,1
1508,0,0,0,0,3,1,0
1509,2,1,1,0,0,1,0
1510,1,0,0,0,0,0,0
1511,1,3,0,0,0,2,0
1512,4,0,0,1,1,0,1
1513,4,0,0,1,0,2,0
1514,2,0,0,2,0,1,0
1515,1,0,0,0,0,1,0
1516,0,0,0,1,0,2,0
1517,1,2,0,4,4,3,0
1518,1,0,2,4,0,3,2
1519,2,0,1,1,1,3,0
1520,0,1,0,1,0,1,0
1521,1,0,4,2,0,2,0
1522,1,2,0,4,2,2,4
1523,1,0,1,2,1,3,0
1524,2,0,0,0,0,1,1
1525,1,0,1,2,4,3,0
1526,2,3,0,0,0,0,0
1527,2,4,0,0,0,1,1
1528,4,2,0,0,1,3,0
1529,0,0,0,3,4,2,2
1530,1,0,0,0,0,1,0
1531,1,4,0,0,1,2,1
1532,1,0,0,0,1,0,1
1533,0,0,0,2,2,2,4
1534,0,0,0,0,1,2,0
1535,1,4,0,0,0,1,0
1536,1,0,0,2,0,3,2
1537,4,0,1,0,1,2,3
1538,1,4,0,4,0,3,0
1539,1,0,0,0,0,1,0
1540,1,3,0,0,0,0,4
1541,1,0,0,4,1,2,0
1542,0,0,4,1,1,3,0
1543,0,0,0,2,4,2,0
1544,3,0,0,1,0,4,0
1545,0,0,0,1,0,1,0
1546,1,0,0,0,1,2,0
1547,1,0,2,4,1,3,0
1548,3,0,0,0,0,2,2
1549,1,3,0,0,3,4,3
1550,1,0,0,2,1,2,3
1551,1,1,3,3,1,1,0
1552,1,0,0,2,0,1,0
1553,1,0,3,0,4,1,0
1554,0,3,0,2,3,2,2
1555,1,0,4,0,1,0,0
1556,0,0,0,1,1,1,0
1557,4,0,0,4,0,1,2
1558,1,0,0,0,1,2,0
1559,2,0,0,0,4,3,4
1560,1,0,1,3,0,2,1
1561,0,2,0,1,2,1,2
1562,2,0,1,2,1,0,0
1563,2,0,0,0,1,2,0
1564,3,0,2,0,4,2,0
1565,1,3,0,0,1,3,0
1566,0,0,0,1,1,2,3
1567,3,1,0,0,1,1,4
1568,1,0,0,0,1,2,0
1569,1,1,0,0,1,3,2
1570,1,0,0,0,2,2,0
1571,3,1,0,4,0,3,2
1572,0,1,1,0,0,2,0
1573,2,0,0,0,0,4,0
1574,1,3,0,0,2,1,0
1575,1,1,0,3,0,3,0
1576,0,0,0,1,1,1,0
1577,1,0,0,0,0,2,4
1578,3,0,0,4,0,1,0
1579,1,0,0,1,1,3,1
1580,0,0,0,1,4,1,0
1581,0,1,0,3,1,1,0
1582,0,0,0,0,1,3,0
1583,0,0,1,0,3,1,3
1584,1,2,1,0,0,1,4
1585,0,3,0,1,1,1,1
1586,4,0,0,0,1,1,3
1587,2,0,3,2,0,2,0
1588,1,2,0,0,0,3,4
1589,4,0,3,0,1,1,1
1590,1,0,3,0,0,3,0
1591,4,0,0,1,0,3,0
1592,2,3,4,4,0,3,0
1593,1,0,0,0,0,1,0
1594,0,4,0,1,2,3,0
1595,1,0,0,0,0,4,0
1596,0,3,0,0,0,2,0
1597,1,0,2,4,0,2,0
1598,1,0,0,0,4,0,0
1599,1,0,0,0,1,2,0
1600,1,2,0,2,0,3,0
1601,1,0,4,3,0,2,0
1602,1,0,4,0,1,0,0
1603,0,0,4,0,2,2,0
1604,1,2,3,0,1,0,0
1605,0,0,0,2,0,1,0
1606,4,0,0,0,1,1,4
1607,0,0,0,1,1,1,0
1608,1,0,0,1,1,2,1
1609,1,0,0,1,2,2,2
1610,1,0,0,2,2,0,0
1611,3,2,0,0,4,3,0
1612,1,2,0,0,0,1,4
1613,0,0,0,1,0,1,0
1614,1,2,1,0,0,2,2
1615,1,0,0,4,2,0,0
1616,1,0,0,0,0,1,0
1617,4,2,0,4,0,2,0
1618,3,3,1,0,1,1,0
1619,1,3,0,0,0,0,0
1620,1,4,0,0,0,1,0
1621,2,0,0,1,4,2,0
1622,1,0,3,0,0,2,0
1623,1,0,0,4,0,2,3
1624,1,0,1,2,1,2,0
1625,3,0,0,0,0,0,0
1626,0,0,0,1,1,2,0
1627,1,0,0,2,4,3,2
1628,2,0,2,2,0,2,0
1629,4,0,0,0,0,2,0
1630,2,0,0,0,1,1,0
1631,1,0,2,0,1,3,4
1632,0,0,0,1,4,2,0
1633,1,1,0,0,1,1,1
1634,1,0,0,0,0,0,0
1635,4,0,0,0,1,2,1
1636,1,0,0,0,0,3,0
1637,1,0,0,0,1,3,0
1638,4,0,1,0,1,0,0
1639,0,2,0,0,1,2,1
1640,2,0,0,0,0,2,0
1641,2,0,0,0,0,1,0
1642,1,0,0,2,0,4,2
1643,1,0,0,0,4,1,2
1644,0,0,0,1,4,1,0
1645,0,0,0,1,4,0,1
1646,1,0,3,3,1,2,0
1647,0,0,0,2,3,1,0
1648,1,3,0,0,1,1,4
1649,4,0,0,0,1,2,0
1650,1,2,1,2,0,0,0
1651,2,0,3,1,0,1,2
1652,0,0,0,0,2,2,0
1653,0,0,0,1,2,2,0
1654,1,4,0,4,1,2,0
1655,2,0,0,0,0,1,0
1656,1,1,1,0,0,0,0
1657,1,0,0,4,0,3,0
1658,2,2,0,1,0,2,0
1659,1,2,0,0,1,2,0
1660,0,0,0,3,0,1,0
1661,1,0,0,0,0,4,2
1662,1,0,0,0,1,2,0
1663,2,3,0,1,0,3,2
1664,0,0,0,0,0,2,0
1665,0,0,0,0,1,0,3
1666,1,2,3,1,0,1,0
1667,1,2,0,0,1,1,0
1668,1,0,0,3,4,0,1
1669,1,2,2,0,1,0,0
1670,1,4,1,0,0,1,1
1671,2,0,4,0,0,0,0
1672,4,0,0,0,1,1,3
1673,2,3,2,3,0,1,0
1674,1,0,0,0,1,1,0
1675,1,0,0,1,1,0,2
1676,2,4,1,3,1,2,0
1677,1,0,4,0,4,1,3
1678,1,0,0,0,0,1,0
1679,3,0,0,0,1,0,4
1680,4,0,0,0,0,3,0
1681,2,0,4,0,0,0,0
1682,1,0,0,3,0,2,0
1683,3,3,0,0,0,2,1
1684,1,0,0,4,0,1,0
1685,4,0,0,0,0,0,1
1686,2,0,0,1,0,2,0
1687,1,0,0,0,1,0,2
1688,1,0,0,0,0,4,3
1689,0,1,0,2,0,3,0
1690,0,0,1,0,0,3,0
1691,0,1,0,1,0,2,0
1692,1,0,4,0,1,2,1
1693,1,0,0,0,1,2,0
1694,1,0,0,0,0,1,0
1695,2,0,2,1,0,1,0
