,alcohol,chlorides,free_sulfur_dioxide,sulphates,density,volatile_acidity,citric_acid
869,1,3,0,1,1,3,1
870,0,3,0,0,0,4,1
871,0,0,0,4,2,0,0
872,2,0,4,0,4,4,1
873,2,1,4,4,0,0,3
874,2,2,0,2,3,2,2
875,1,0,4,1,0,1,4
876,1,3,0,1,2,1,0
877,0,1,2,3,3,3,0
878,4,2,2,1,0,3,0
879,2,0,3,2,0,3,0
880,3,0,0,3,2,4,0
881,1,0,1,1,4,1,4
882,4,0,3,3,0,2,1
883,1,1,0,4,4,1,1
884,4,4,2,4,3,1,1
885,3,0,0,3,4,0,0
886,4,3,4,0,0,3,0
887,0,0,0,2,0,2,3
888,4,1,4,1,0,3,0
889,3,0,2,0,0,4,0
890,4,4,2,1,1,1,1
891,2,0,2,1,0,2,1
892,1,3,0,0,2,0,1
893,3,2,0,4,3,1,0
894,3,0,2,0,3,1,4
895,4,4,0,2,1,2,0
896,3,2,2,4,4,2,1
897,4,2,2,3,2,0,0
898,3,2,4,0,1,1,1
899,4,1,3,4,3,1,1
900,4,0,4,3,4,0,2
901,2,4,1,1,0,3,0
902,2,0,0,1,3,3,2
903,1,2,0,1,0,4,4
904,1,0,2,3,1,4,1
905,1,2,1,1,2,0,2
906,2,0,0,1,3,4,0
907,4,0,2,0,3,3,0
908,1,2,0,0,2,3,2
909,2,1,1,0,1,1,3
910,3,1,2,4,4,1,4
911,3,2,0,0,1,1,3
912,0,0,3,2,2,1,2
913,3,1,0,4,0,4,1
914,3,3,4,0,2,4,1
915,2,0,3,0,3,0,1
916,1,2,1,1,4,2,3
917,1,0,2,3,4,0,2
918,4,4,0,4,3,1,0
919,3,4,1,0,3,0,1
920,0,4,3,0,4,1,1
921,0,0,4,4,1,0,2
922,0,1,0,3,2,1,4
923,4,3,1,1,0,0,2
924,2,0,3,3,3,3,1
925,1,4,0,1,4,3,0
926,1,3,4,4,0,4,2
927,1,0,4,3,3,1,3
928,0,0,0,2,0,4,4
929,3,0,0,0,1,1,0
930,3,4,1,1,0,1,0
931,0,0,1,4,1,0,4
932,4,0,1,3,1,4,0
933,0,1,3,3,0,4,2
934,4,0,0,2,2,2,1
935,1,4,0,1,1,0,3
936,3,1,0,1,1,1,0
937,1,3,1,4,4,0,0
938,4,2,4,1,4,2,1
939,3,3,1,4,4,1,4
940,0,3,2,4,0,1,2
941,4,3,0,2,2,1,3
942,2,3,2,0,4,1,1
943,1,2,0,2,0,2,2
944,1,4,1,0,4,0,1
945,1,3,0,0,2,1,1
946,3,3,3,2,4,0,1
947,1,4,1,2,0,1,1
948,3,4,1,2,4,4,2
949,3,0,0,0,0,4,1
950,1,3,0,4,3,3,1
951,1,0,2,4,1,2,4
952,1,0,0,3,4,0,2
953,2,1,3,2,0,0,4
954,2,0,0,3,2,2,4
955,4,3,0,2,1,2,2
956,1,3,2,1,2,4,1
957,1,3,1,3,2,4,3
958,1,1,1,4,3,0,1
959,2,0,3,2,4,3,4
960,2,4,0,4,0,1,0
961,2,0,3,1,3,1,0
962,3,3,2,2,2,0,0
963,4,1,2,0,0,1,1
964,1,1,0,2,0,0,3
965,1,3,0,0,3,0,3
966,4,2,1,3,0,1,2
967,3,3,1,0,0,0,3
968,1,4,2,1,3,3,3
969,1,2,0,1,2,1,1
970,3,1,2,0,0,0,3
971,2,4,3,1,0,1,0
972,0,3,1,0,0,3,1
973,4,4,4,4,4,3,0
974,1,1,4,2,1,3,0
975,0,3,3,0,1,3,1
976,2,1,0,1,0,4,3
977,2,4,0,4,0,3,2
978,2,4,1,1,0,2,0
979,3,2,4,1,0,0,0
980,1,4,3,1,4,3,4
981,3,2,4,2,0,2,0
982,0,0,0,3,1,3,0
983,1,3,0,2,3,0,0
984,4,4,3,3,2,2,1
985,1,3,4,4,1,0,3
986,2,4,4,2,3,0,1
987,3,0,2,2,3,0,3
988,4,3,2,0,4,2,0
989,2,2,0,0,4,0,4
990,1,3,1,0,0,2,4
991,0,3,1,3,0,3,3
992,1,3,4,0,3,1,0
993,1,0,4,4,1,1,3
994,2,0,4,1,3,2,3
995,1,0,1,1,3,1,4
996,1,0,0,1,1,2,0
997,1,1,0,0,0,0,0
998,1,1,2,3,2,4,4
999,3,4,3,2,3,3,0
1000,3,0,2,3,3,0,2
1001,1,1,2,4,2,1,0
1002,0,0,3,0,1,0,2
1003,2,0,2,4,4,0,1
1004,4,3,4,2,4,4,0
1005,2,4,2,4,2,4,4
1006,1,3,4,1,0,0,2
1007,0,0,0,4,1,1,2
1008,0,0,2,2,1,3,1
1009,4,3,0,3,0,3,0
1010,1,1,1,1,1,3,1
1011,2,1,1,2,1,1,0
1012,2,0,1,1,1,3,4
1013,2,0,1,4,3,3,2
1014,0,0,2,2,1,4,0
1015,4,3,2,0,3,4,1
1016,2,4,3,4,0,2,3
1017,1,0,0,2,0,0,0
1018,1,1,1,4,4,2,4
1019,2,0,3,2,4,1,0
1020,0,0,0,0,0,3,0
1021,4,1,0,0,0,2,4
1022,2,0,3,3,0,0,1
1023,0,1,2,1,3,4,0
1024,2,2,0,3,0,2,2
1025,3,2,3,0,0,1,4
1026,0,0,0,0,4,1,2
1027,2,0,1,3,1,0,1
1028,2,3,3,2,2,0,3
1029,1,0,4,2,3,3,0
1030,1,3,4,2,3,0,4
1031,3,0,3,0,0,2,2
1032,2,0,3,0,3,0,1
1033,3,3,1,0,1,3,1
1034,0,3,1,2,3,3,4
1035,3,3,3,0,3,1,1
1036,2,3,1,3,3,3,0
1037,1,4,4,3,2,2,3
1038,3,3,1,1,0,3,0
1039,4,2,0,4,4,1,4
1040,0,4,4,0,1,1,4
1041,4,1,2,3,0,0,4
1042,3,2,3,0,3,1,3
1043,0,3,0,3,0,2,0
1044,1,2,4,2,3,3,1
1045,2,4,4,4,4,1,3
1046,2,0,0,3,2,3,2
1047,0,0,3,4,1,3,2
1048,3,4,1,1,0,1,4
1049,4,3,1,0,4,1,3
1050,0,3,1,0,1,4,3
1051,3,3,0,1,1,4,0
1052,1,0,1,2,2,0,1
1053,4,3,4,4,2,2,3
1054,3,3,2,3,3,3,0
1055,2,2,1,3,2,4,0
1056,3,1,0,0,2,3,0
1057,2,0,0,0,1,0,1
1058,1,4,1,2,3,3,1
1059,0,1,0,0,2,1,4
1060,0,4,2,3,1,1,1
1061,3,2,1,4,1,2,1
1062,0,0,4,0,4,1,4
1063,1,4,4,1,3,4,2
1064,1,0,2,0,0,1,3
1065,1,4,0,3,2,1,0
1066,2,2,0,3,2,3,3
1067,2,0,0,2,1,4,0
1068,1,0,3,1,1,2,0
1069,1,4,0,0,0,0,2
1070,4,2,0,0,3,1,1
1071,1,3,4,3,1,4,2
1072,3,4,2,1,3,0,4
1073,0,1,3,4,1,0,1
1074,3,0,3,1,3,3,1
1075,4,1,1,1,1,0,1
1076,4,2,3,4,3,2,4
1077,4,4,0,0,0,3,0
1078,1,1,3,1,2,2,3
1079,4,0,1,3,0,2,1
1080,2,2,2,1,2,0,1
1081,0,2,0,1,1,4,4
1082,1,4,0,0,2,1,4
1083,0,0,1,4,0,2,1
1084,4,3,1,1,0,2,3
1085,1,3,2,0,1,0,4
1086,1,0,3,3,2,0,4
1087,4,3,0,3,3,4,4
1088,3,0,2,2,1,1,3
1089,0,2,0,4,0,1,1
1090,4,0,0,3,3,0,2
1091,4,3,2,1,4,0,0
1092,1,1,4,1,3,0,4
1093,3,4,0,3,0,0,4
1094,2,0,0,1,1,0,1
1095,2,4,3,1,2,0,4
1096,1,4,4,2,0,0,3
1097,2,1,2,1,3,0,1
1098,4,4,1,3,3,2,0
1099,1,0,0,2,3,0,1
1100,0,2,0,3,4,2,4
1101,2,1,3,4,1,2,1
1102,1,1,0,1,1,1,1
1103,4,2,4,4,2,0,0
1104,2,4,2,3,0,3,1
1105,4,0,4,1,0,4,3
1106,2,0,2,3,0,3,3
1107,2,0,0,3,0,4,2
1108,2,2,0,0,3,0,2
1109,3,0,2,3,1,1,2
1110,4,1,2,0,4,0,0
1111,0,2,1,0,1,1,4
1112,2,3,2,0,1,2,4
1113,3,3,3,3,1,3,3
1114,3,4,1,4,1,3,2
1115,4,1,0,4,2,2,1
1116,3,4,1,4,4,2,0
1117,0,0,4,4,3,1,3
1118,1,4,0,1,1,0,0
1119,3,3,0,4,4,1,0
1120,2,2,0,0,0,3,2
1121,4,2,0,3,1,2,2
1122,3,0,3,2,1,0,4
1123,4,1,4,1,1,0,2
1124,0,0,1,0,1,4,3
1125,2,2,1,3,0,0,4
1126,0,3,3,1,4,0,3
1127,0,0,2,1,0,2,2
1128,3,1,2,4,2,4,0
1129,1,4,0,1,0,1,4
1130,0,3,0,0,4,2,3
1131,4,0,2,4,0,0,1
1132,1,3,3,1,0,0,0
1133,0,4,4,4,0,4,3
1134,1,4,4,1,2,0,0
1135,3,2,1,1,1,1,0
1136,1,2,0,1,0,2,1
1137,0,0,3,4,1,4,0
1138,1,1,1,0,0,0,0
1139,3,3,1,3,1,1,0
1140,3,0,2,0,0,1,0
1141,4,3,4,4,0,3,3
1142,3,0,2,0,2,2,2
1143,2,3,1,3,1,4,4
1144,2,1,2,4,0,0,1
1145,2,4,4,2,4,2,0
1146,0,4,3,0,3,0,0
1147,0,4,3,2,0,0,0
1148,0,3,4,4,4,0,2
1149,1,2,0,0,2,0,4
1150,0,0,0,2,2,0,0
1151,2,1,2,4,0,0,4
1152,4,3,0,1,0,3,0
1153,1,2,0,2,0,3,0
1154,0,1,0,3,3,2,4
1155,1,3,2,3,2,2,3
1156,4,3,2,0,0,1,4
1157,2,4,1,4,4,4,1
1158,1,1,1,4,1,0,0
1159,4,2,0,0,4,0,1
1160,0,4,0,4,0,0,0
1161,3,0,1,2,0,2,1
1162,2,2,4,1,3,1,3
1163,2,0,4,3,2,3,0
1164,2,0,4,2,1,4,2
1165,4,1,2,2,3,1,0
1166,1,1,1,1,2,1,2
1167,0,0,1,0,2,3,4
1168,2,1,4,0,0,2,4
1169,1,0,4,2,0,2,2
1170,1,2,2,0,1,1,0
1171,4,4,2,0,1,2,1
1172,0,0,0,1,4,0,2
1173,4,4,3,4,1,1,1
1174,2,3,0,3,3,0,4
1175,3,2,0,4,3,0,1
1176,4,2,3,1,1,0,4
1177,0,3,2,2,4,1,4
1178,1,0,4,0,0,0,4
1179,2,3,1,1,1,0,1
1180,0,0,2,1,3,0,0
1181,0,2,3,0,4,0,2
1182,2,4,4,1,3,0,1
1183,4,0,1,0,3,1,0
1184,2,2,1,2,4,0,4
1185,1,4,3,0,3,4,4
1186,1,2,3,2,3,0,3
1187,1,3,4,4,1,4,3
1188,3,0,4,2,0,0,3
1189,3,0,1,3,0,3,3
1190,4,2,4,3,3,0,2
1191,1,3,0,0,2,2,4
1192,0,1,4,0,0,4,2
1193,4,2,2,1,4,4,2
1194,1,0,3,4,4,3,1
1195,3,0,1,0,1,1,0
1196,4,4,2,0,4,0,4
1197,2,3,4,0,1,0,2
1198,3,3,3,4,0,4,0
1199,1,0,1,0,4,2,0
1200,1,0,0,0,1,3,0
1201,3,1,3,1,2,1,0
1202,2,3,1,3,3,1,0
1203,3,0,0,4,3,3,4
1204,2,2,4,0,0,4,4
1205,1,2,0,2,2,2,1
1206,2,1,1,3,2,0,2
1207,1,4,0,2,4,3,4
1208,1,1,4,0,2,4,1
1209,0,0,0,2,3,2,0
1210,1,0,4,1,0,2,4
1211,1,3,3,4,0,0,3
1212,1,0,3,0,0,2,2
1213,2,0,0,4,2,3,1
1214,4,1,2,4,0,4,3
1215,3,1,4,1,4,1,0
1216,4,3,4,3,0,2,3
1217,3,0,1,0,2,3,3
1218,4,4,2,2,1,0,0
1219,4,1,1,0,2,3,1
1220,1,1,1,0,1,3,0
1221,0,1,0,4,4,0,1
1222,0,4,4,0,0,4,2
1223,1,2,3,1,0,4,4
1224,0,0,4,2,2,4,3
1225,1,3,2,3,0,0,3
1226,4,1,1,1,3,3,1
1227,4,3,3,2,2,3,2
1228,1,2,4,2,1,4,1
1229,2,2,0,4,1,4,0
1230,0,4,4,1,4,0,2
1231,3,1,3,3,1,1,2
1232,0,0,3,0,0,1,3
1233,2,3,0,1,3,1,3
1234,0,3,0,3,0,0,1
1235,4,4,2,4,0,4,1
1236,0,1,3,2,1,2,0
1237,2,1,1,2,0,3,1
1238,4,1,0,0,1,2,3
1239,1,4,0,2,0,2,1
1240,3,0,2,2,4,1,0
1241,1,2,0,2,4,1,3
1242,2,1,4,3,0,3,0
1243,3,0,3,1,0,1,1
1244,0,3,0,2,0,0,3
1245,4,3,4,2,4,1,2
1246,0,0,3,4,4,1,2
1247,1,2,3,4,4,0,0
1248,1,3,0,4,0,0,2
1249,3,4,0,2,0,3,2
1250,2,0,3,1,4,3,2
1251,3,4,1,2,1,4,4
1252,0,1,3,1,4,0,2
1253,2,4,0,2,4,3,4
1254,1,4,0,2,1,2,3
1255,4,1,2,4,2,3,4
1256,1,0,0,0,2,2,0
1257,4,3,0,1,1,1,0
1258,2,4,3,3,1,2,0
1259,3,0,3,3,1,3,4
1260,3,1,1,1,0,1,4
1261,2,4,0,2,0,4,3
1262,2,1,1,0,4,4,0
1263,3,0,3,1,0,3,0
1264,1,1,0,0,0,3,0
1265,4,1,1,1,3,3,2
1266,3,2,4,4,0,0,2
1267,4,2,1,0,1,0,4
1268,1,0,1,3,0,0,0
1269,2,3,0,4,0,3,4
1270,4,0,4,0,3,0,4
1271,3,0,0,2,3,4,3
1272,1,0,4,3,0,4,3
1273,3,0,0,1,0,3,3
1274,0,1,3,0,0,2,1
1275,2,4,0,4,3,0,1
1276,2,4,0,1,3,4,2
1277,0,0,3,2,2,0,1
1278,4,1,0,0,2,2,0
1279,1,3,4,0,4,3,2
1280,3,0,3,0,4,3,3
1281,4,2,0,1,1,2,2
1282,1,0,1,3,0,1,2
1283,2,0,4,1,2,0,3
1284,3,4,0,4,1,3,2
1285,4,2,4,0,0,1,1
1286,2,2,1,0,1,0,1
1287,3,1,0,2,1,4,0
1288,3,0,0,1,2,1,1
1289,3,1,1,4,4,2,3
1290,1,0,2,2,0,3,1
1291,2,2,1,0,1,2,4
1292,4,0,4,3,0,2,0
1293,3,0,3,3,1,3,2
1294,2,1,2,1,0,3,4
1295,1,1,0,0,4,0,3
1296,1,4,3,4,4,3,2
1297,3,2,0,4,0,4,1
1298,0,0,2,2,0,1,0
1299,0,4,1,2,0,4,1
1300,0,1,4,0,0,0,0
1301,1,0,2,1,1,1,4
1302,3,4,0,0,3,4,1
1303,4,3,0,3,3,2,0
1304,3,4,3,1,1,4,4
1305,4,0,0,2,4,1,1
1306,4,4,0,4,1,1,0
1307,1,0,4,4,4,0,3
1308,1,0,0,2,0,0,4
1309,4,1,4,0,2,2,3
1310,2,3,0,3,2,1,2
1311,1,1,3,0,4,4,3
1312,3,0,1,2,0,2,0
1313,3,3,2,0,4,3,0
1314,1,4,2,3,2,2,0
1315,2,2,0,1,3,4,4
1316,3,4,3,0,1,3,2
1317,1,0,4,0,4,4,1
1318,0,0,1,3,2,3,4
1319,3,0,4,1,3,4,3
1320,4,2,0,0,0,1,4
1321,4,3,0,0,0,1,1
1322,0,0,3,4,4,0,0
1323,0,2,0,4,3,4,4
1324,1,1,2,0,3,4,4
1325,4,4,0,0,0,1,1
1326,1,0,2,1,2,0,2
1327,0,3,4,1,4,1,0
1328,3,4,1,2,1,0,1
1329,4,4,0,3,0,2,3
1330,1,0,1,0,0,3,2
1331,1,0,0,1,2,1,2
1332,1,3,1,4,0,2,0
1333,4,1,3,3,2,1,4
1334,1,0,4,1,1,4,1
1335,2,4,0,4,4,4,2
1336,1,1,0,1,0,1,4
1337,1,3,2,4,3,4,2
1338,3,1,2,1,2,0,1
1339,3,2,1,4,1,1,1
1340,2,1,2,4,0,0,1
1341,2,4,0,3,4,0,2
1342,3,2,4,1,3,1,0
1343,4,3,1,3,2,2,3
1344,0,0,0,3,4,4,3
1345,2,2,0,0,0,0,1
1346,3,1,4,4,2,0,0
1347,0,3,4,4,2,0,0
1348,3,3,1,0,0,0,3
1349,0,3,4,3,2,0,1
1350,0,1,0,1,1,3,4
1351,3,2,2,0,2,2,2
1352,2,2,0,2,3,3,0
1353,2,0,1,4,0,0,2
1354,1,4,2,0,0,3,0
1355,3,2,4,0,0,2,3
1356,0,0,4,4,0,0,3
1357,0,4,2,2,3,4,0
1358,2,3,2,2,4,1,3
1359,4,4,4,2,0,1,0
1360,2,4,4,4,4,0,4
1361,3,2,1,3,1,3,1
1362,1,4,4,2,2,1,4
1363,2,0,1,4,0,3,0
1364,3,0,3,0,1,1,0
1365,4,2,0,1,2,4,3
1366,2,0,4,2,0,0,0
1367,1,3,3,3,0,3,3
1368,1,0,4,0,3,1,2
1369,1,1,1,3,0,3,0
1370,0,2,3,0,4,3,1
1371,1,1,0,4,3,3,1
1372,4,1,0,3,0,4,2
1373,0,0,3,2,4,0,2
1374,3,1,4,2,2,0,1
1375,1,0,2,0,2,1,2
1376,1,2,1,3,1,1,1
1377,1,3,0,4,2,1,2
1378,2,2,0,1,2,2,4
1379,0,4,0,0,4,3,4
1380,4,1,3,3,3,2,0
1381,2,0,2,2,4,2,3
1382,4,2,1,2,3,4,0
1383,0,0,0,1,1,1,1
1384,1,3,3,1,4,3,4
1385,4,0,0,2,1,1,1
1386,0,3,1,1,0,0,4
1387,1,0,3,1,4,0,2
1388,0,4,0,1,0,1,1
1389,1,3,2,3,2,4,2
1390,3,0,2,1,4,0,2
1391,2,4,1,2,0,3,0
1392,1,0,2,1,2,3,2
1393,3,1,0,3,3,0,2
1394,4,3,2,0,2,2,1
1395,1,0,1,3,3,0,1
1396,0,0,4,4,0,1,0
1397,3,0,3,2,1,4,2
1398,0,1,4,4,0,0,2
1399,0,0,1,3,0,1,3
1400,4,4,0,2,0,3,1
1401,3,1,2,4,3,1,1
1402,1,2,4,3,0,2,0
1403,4,0,2,0,2,0,4
1404,4,3,0,4,0,4,0
1405,3,0,3,1,2,0,4
1406,1,2,1,0,3,0,0
1407,1,1,2,1,1,1,4
1408,1,0,0,3,0,2,2
1409,0,2,2,0,0,0,0
1410,1,2,0,2,2,2,0
1411,2,0,1,1,4,1,0
1412,4,3,3,0,1,2,1
1413,2,2,4,2,4,4,0
1414,1,1,0,3,3,2,1
1415,3,3,0,0,0,2,0
1416,3,1,2,1,0,0,2
1417,1,0,2,0,0,4,0
1418,2,1,3,4,0,0,0
1419,1,4,4,1,4,3,3
1420,3,2,4,3,2,4,4
1421,2,0,2,1,1,0,2
1422,1,2,1,0,1,4,1
1423,4,3,2,2,2,4,2
1424,2,1,0,1,0,3,0
1425,2,2,0,1,2,3,0
1426,3,3,1,1,1,2,0
1427,0,4,1,4,4,1,1
1428,4,4,0,0,3,2,2
1429,3,1,4,3,0,0,3
1430,4,3,4,0,0,0,2
1431,3,4,0,1,0,2,4
1432,4,1,1,2,0,4,0
1433,1,2,1,0,2,0,1
1434,3,3,4,1,0,1,1
1435,4,0,1,0,3,0,0
1436,1,0,4,0,3,4,4
1437,1,2,0,3,0,4,0
1438,1,1,0,0,0,0,1
1439,0,3,2,2,0,3,1
1440,0,4,0,0,0,4,0
1441,4,4,3,1,2,0,3
1442,4,0,0,2,0,0,0
1443,4,4,3,3,2,2,0
1444,4,0,1,4,2,0,3
1445,4,0,2,3,0,4,0
1446,3,2,0,2,0,0,1
1447,3,3,4,0,1,3,0
1448,1,1,3,1,4,0,0
1449,1,0,0,4,0,2,3
1450,1,3,2,1,4,0,1
1451,2,0,3,0,1,1,4
1452,3,0,4,4,4,2,4
1453,0,3,0,3,4,3,2
1454,3,1,3,4,0,1,4
1455,1,0,0,4,2,3,3
1456,0,2,3,0,3,0,4
1457,1,0,0,0,4,4,3
1458,0,1,0,0,2,0,0
1459,3,0,2,0,0,1,0
1460,1,3,1,0,4,0,4
1461,1,3,2,4,3,2,0
1462,1,1,4,1,0,1,1
1463,2,3,1,4,0,1,4
1464,4,4,1,0,2,3,3
1465,0,2,0,1,4,4,2
1466,3,0,3,3,2,1,2
1467,4,1,2,2,1,0,1
1468,1,0,0,0,1,2,2
1469,0,0,2,0,0,4,0
1470,0,2,2,4,2,0,2
1471,4,4,3,3,1,1,4
1472,4,4,4,1,3,4,2
1473,4,4,1,3,2,1,4
1474,2,0,4,3,4,0,1
1475,2,4,0,0,0,3,2
1476,1,4,3,3,2,0,1
1477,1,4,0,0,0,4,0
1478,4,2,0,2,3,0,3
1479,2,3,0,1,4,2,0
1480,2,1,2,0,2,1,0
1481,2,3,3,4,0,1,0
1482,1,1,4,1,2,0,0
1483,1,4,0,0,2,4,2
1484,3,4,2,1,1,3,2
1485,4,1,0,1,1,4,0
1486,0,2,3,1,0,4,2
1487,1,1,4,1,2,1,4
1488,0,1,2,2,3,4,4
1489,2,0,1,4,1,4,1
1490,2,0,0,1,4,3,3
1491,0,4,2,0,1,4,2
1492,2,3,0,3,2,1,3
1493,3,2,0,0,2,1,3
1494,2,1,1,0,1,0,2
1495,2,3,1,4,1,4,3
1496,0,2,0,3,1,2,1
1497,0,3,3,0,1,3,1
1498,0,2,4,0,3,2,4
1499,2,4,4,2,2,0,1
1500,2,2,1,0,2,0,1
1501,1,0,0,1,0,0,0
1502,2,0,1,0,2,4,2
1503,1,3,2,3,3,3,4
1504,3,4,2,1,3,1,1
1505,4,1,1,4,1,0,4
1506,1,0,4,3,0,0,1
1507,2,4,0,1,2,4,0
1508,1,0,3,4,3,4,0
1509,0,3,1,3,1,0,1
1510,2,2,1,0,0,3,4
1511,3,0,0,1,1,0,3
1512,4,3,4,0,0,0,3
1513,0,1,3,2,0,4,1
1514,3,0,1,4,3,3,2
1515,3,1,0,2,0,1,3
1516,0,2,4,0,2,0,4
1517,4,4,2,3,3,2,2
1518,1,3,0,4,0,0,4
1519,0,0,3,3,0,0,0
1520,2,2,2,2,4,0,3
1521,1,2,4,2,4,2,1
1522,3,1,0,3,0,1,0
1523,0,0,4,3,0,1,2
1524,1,0,0,1,0,0,1
1525,2,1,2,1,0,0,4
1526,2,2,3,0,1,0,4
1527,3,3,4,1,3,1,4
1528,4,3,4,2,0,0,3
1529,1,3,0,2,0,0,2
1530,0,2,1,3,0,3,1
1531,1,0,0,4,3,1,2
1532,0,0,3,3,1,1,1
1533,1,2,2,2,0,1,1
1534,3,0,0,0,4,1,0
1535,2,0,0,3,3,0,2
1536,1,4,0,2,1,3,0
1537,1,2,0,0,0,3,0
1538,0,2,2,3,2,0,3
1539,4,4,4,1,4,1,1
1540,2,0,0,2,0,0,0
1541,1,4,0,1,3,1,0
1542,4,0,4,4,0,3,1
1543,2,0,2,1,3,4,3
1544,2,0,2,1,4,2,0
1545,4,0,4,1,4,0,3
1546,1,4,2,2,4,3,0
1547,2,2,4,1,3,2,0
1548,1,0,4,4,0,0,4
1549,2,2,1,3,4,2,1
1550,4,3,0,1,2,0,1
1551,3,4,2,2,2,2,2
1552,2,0,0,1,4,0,0
1553,2,3,0,4,3,2,1
1554,3,4,2,3,2,0,3
1555,2,4,3,0,2,1,3
1556,2,4,0,0,1,1,4
1557,3,3,3,1,0,3,1
1558,2,2,0,3,3,2,0
1559,4,2,1,0,2,0,0
1560,1,2,4,2,0,1,1
1561,1,4,2,0,0,1,1
1562,0,1,0,1,4,3,0
1563,0,2,0,4,1,2,4
1564,4,0,4,1,1,4,4
1565,2,0,4,4,0,0,2
1566,0,3,0,3,0,2,0
1567,1,3,1,4,4,1,0
1568,0,1,2,3,0,0,1
1569,1,2,2,0,1,1,0
1570,1,2,1,2,4,0,2
1571,4,0,0,0,2,1,4
1572,1,0,4,0,1,3,0
1573,2,0,1,1,0,1,4
1574,0,2,4,2,2,0,4
1575,3,0,0,4,3,0,0
1576,4,3,4,1,4,1,0
1577,1,1,0,2,0,1,2
1578,1,2,4,4,2,1,0
1579,0,0,2,3,3,1,3
1580,3,3,0,2,0,4,2
1581,0,1,3,0,2,4,4
1582,0,0,0,3,1,1,3
1583,2,0,0,0,3,2,0
1584,2,4,3,1,1,0,2
1585,0,4,0,0,0,3,4
1586,4,1,3,1,0,0,3
1587,4,1,4,3,3,0,3
1588,3,3,2,4,2,2,4
1589,4,0,0,0,3,2,4
1590,4,3,4,1,4,0,1
1591,3,0,3,1,0,3,2
1592,1,1,3,4,3,3,3
1593,4,4,4,2,0,3,0
1594,3,0,4,4,3,2,0
1595,1,2,3,3,4,1,4
1596,3,1,3,0,2,0,4
1597,0,4,4,2,4,4,4
1598,2,4,2,0,0,0,3
1599,0,4,4,4,2,2,0
1600,4,4,4,2,0,2,0
1601,2,1,0,2,2,3,0
1602,3,1,2,2,4,1,0
1603,3,1,4,4,4,1,0
1604,4,0,3,2,4,4,2
1605,3,3,2,3,2,1,0
1606,3,4,4,0,4,4,4
1607,2,0,0,3,3,4,1
1608,1,4,0,0,2,0,4
1609,4,0,3,3,2,1,2
1610,1,0,4,1,1,4,1
1611,0,0,0,1,2,2,4
1612,1,0,1,4,3,1,0
1613,4,0,1,3,4,0,0
1614,3,4,1,0,3,2,4
1615,2,2,2,0,1,0,2
1616,1,4,2,1,1,3,4
1617,2,0,0,0,0,0,4
1618,2,0,0,1,0,3,0
1619,0,4,2,2,4,0,0
1620,0,0,4,0,0,2,3
1621,1,0,2,0,2,1,0
1622,1,2,0,4,0,0,0
1623,3,2,1,1,2,0,0
1624,3,4,2,2,1,0,0
1625,1,3,0,0,0,3,2
1626,3,4,4,2,1,0,3
1627,0,1,0,2,0,3,3
1628,0,0,3,2,0,4,0
1629,2,0,0,1,1,2,1
1630,3,1,2,2,0,2,2
1631,0,4,3,1,3,0,3
1632,2,0,2,0,0,0,3
1633,2,2,1,1,0,0,0
1634,3,0,0,4,2,0,4
1635,0,1,0,3,3,0,3
1636,0,0,1,0,0,2,2
1637,0,0,1,3,3,2,1
1638,0,3,1,0,3,4,4
1639,0,2,3,4,1,0,2
1640,3,1,1,0,0,2,0
1641,4,0,2,2,4,3,1
1642,1,1,4,4,4,4,1
1643,2,2,0,4,0,0,1
1644,2,1,0,2,3,1,3
1645,1,0,4,1,0,2,0
1646,1,3,1,4,0,4,1
1647,3,1,3,1,1,2,0
1648,4,2,3,1,2,2,4
1649,3,1,4,4,0,0,1
1650,4,0,3,2,0,0,3
1651,2,0,1,4,3,0,1
1652,2,3,0,1,3,1,4
1653,4,0,0,4,2,1,0
1654,3,3,0,2,0,3,0
1655,0,0,4,0,2,3,2
1656,2,3,1,1,2,4,3
1657,4,4,0,3,3,2,1
1658,4,4,4,0,2,1,1
1659,0,1,1,1,4,0,1
1660,3,1,3,4,0,1,2
1661,0,3,3,2,2,3,3
1662,2,2,4,2,0,2,4
1663,2,0,2,4,3,0,0
1664,2,2,2,1,1,0,3
1665,1,0,1,0,3,3,1
1666,4,1,0,1,4,2,4
1667,2,0,4,0,4,2,3
1668,0,1,4,4,1,2,2
1669,0,0,4,0,1,4,2
1670,0,0,4,0,0,0,1
1671,3,0,4,0,2,1,3
1672,4,1,0,2,3,0,3
1673,0,0,0,3,4,2,2
1674,1,3,1,2,0,2,2
1675,0,0,3,2,2,0,3
1676,0,2,0,1,0,3,1
1677,2,0,4,0,2,2,4
1678,0,1,2,2,4,4,1
1679,4,1,2,4,2,4,2
1680,3,3,2,3,1,0,0
1681,0,4,0,2,1,0,4
1682,1,3,1,2,2,3,0
1683,2,1,3,2,2,4,2
1684,1,0,0,3,4,0,3
1685,3,0,0,3,2,3,2
1686,3,3,0,4,1,0,3
1687,2,4,4,1,4,2,0
1688,0,2,2,3,2,0,2
1689,2,1,0,1,0,3,0
1690,4,2,0,0,0,0,0
1691,0,2,3,4,0,3,1
1692,0,3,3,1,2,0,0
1693,2,1,2,4,0,2,4
1694,0,1,0,3,3,1,2
1695,1,1,1,0,3,4,2
1696,0,3,2,3,0,0,0
